epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
1	2147483647	281	0.2089	0.2089	1.0	99.6441	0.0	0.3559	0.0	99.6441	0.3559	99.6441
1	2147483647	252	0.223	0.223	1.0	99.6032	0.0	0.3968	0.0	99.6032	0.3968	99.6032
1	2147483647	270	0.3927	0.3927	1.0	99.6296	0.0	0.3704	0.0	99.6296	0.3704	99.6296
1	2147483647	266	0.2062	0.2062	1.0	99.6241	0.0	0.3759	0.0	99.6241	0.3759	99.6241
1	2147483647	264	0.2374	0.2374	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	261	0.3904	0.3904	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	272	0.1356	0.1356	1.0	99.2647	0.0	0.7353	0.0	99.2647	0.7353	99.2647
1	2147483647	250	0.3817	0.3817	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	230	0.3171	0.3171	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	260	0.2818	0.2818	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	281	0.2687	0.2687	1.0	99.2883	0.0	0.7117	0.0	99.2883	0.7117	99.2883
1	2147483647	253	0.2944	0.2944	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	2147483647	259	0.4355	0.4355	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	0.125	258	1279.8084	0.2925	0.0002	81.7829	0.0	0.0	18.2171	100.0	0.0	81.7829
2	0.15625	254	925.8178	0.239	0.0003	90.5512	0.0	0.3937	9.0551	99.6063	0.3937	90.5512
2	0.1875	274	491.9771	0.3205	0.0007	72.9927	0.0	0.365	26.6423	99.635	0.365	72.9927
2	0.21875	262	571.4447	0.2891	0.0005	80.1527	0.0	0.3817	19.4656	99.6183	0.3817	80.1527
2	0.25	258	298.7319	0.3639	0.0012	70.9302	0.3876	0.3876	28.2946	99.2248	0.7752	71.3178
2	0.3125	264	419.7288	0.4853	0.0012	88.6364	0.0	0.3788	10.9848	99.6212	0.3788	88.6364
2	0.375	255	299.8062	0.4576	0.0015	81.5686	0.0	0.0	18.4314	100.0	0.0	81.5686
2	0.4375	234	74.5734	0.3206	0.0043	70.0855	0.0	0.4274	29.4872	99.5726	0.4274	70.0855
2	0.5	241	33.8001	0.2628	0.0078	78.0083	0.0	0.0	21.9917	100.0	0.0	78.0083
2	0.625	270	31.9394	0.4328	0.0136	71.8519	0.0	0.3704	27.7778	99.6296	0.3704	71.8519
2	0.75	268	25.7549	0.3424	0.0133	77.9851	0.0	0.0	22.0149	100.0	0.0	77.9851
2	0.875	270	25.9452	0.4338	0.0167	78.5185	0.0	0.0	21.4815	100.0	0.0	78.5185
2	1	288	31.5436	0.4002	0.0127	81.9444	0.3472	0.3472	17.3611	99.3056	0.6944	82.2917
2	1.25	259	9.8655	0.2326	0.0236	84.1699	0.0	0.0	15.8301	100.0	0.0	84.1699
2	1.5	286	7.4801	0.3459	0.0462	79.3706	0.0	0.3497	20.2797	99.6503	0.3497	79.3706
2	1.75	250	3.3532	0.4823	0.1438	78.4	0.0	0.4	21.2	99.6	0.4	78.4
2	2	266	7.1417	0.4011	0.0562	81.9549	0.0	0.3759	17.6692	99.6241	0.3759	81.9549
2	2.5	266	1.1043	0.3942	0.357	85.3383	0.0	0.0	14.6617	100.0	0.0	85.3383
2	3	258	2.7638	0.2406	0.0871	89.9225	0.0	0.0	10.0775	100.0	0.0	89.9225
2	3.5	272	1.2328	0.5291	0.4292	79.7794	0.0	0.0	20.2206	100.0	0.0	79.7794
2	4	258	0.8468	0.5625	0.6643	96.124	0.0	0.0	3.876	100.0	0.0	96.124
2	5	263	0.9523	0.3961	0.4159	99.2395	0.0	0.7605	0.0	99.2395	0.7605	99.2395
2	6	269	0.5548	0.4906	0.8843	97.3978	0.0	0.0	2.6022	100.0	0.0	97.3978
2	7	273	0.3326	0.3069	0.9226	99.6337	0.0	0.0	0.3663	100.0	0.0	99.6337
2	8	265	0.5231	0.4965	0.9491	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	10	301	0.2695	0.4036	1.4976	94.3522	0.0	0.0	5.6478	100.0	0.0	94.3522
2	12	265	0.363	0.4078	1.1234	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	14	277	0.2712	0.3523	1.2992	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	16	249	0.2272	0.3323	1.4624	99.5984	0.0	0.4016	0.0	99.5984	0.4016	99.5984
2	20	234	0.2671	0.383	1.434	99.1453	0.0	0.4274	0.4274	99.5726	0.4274	99.1453
2	24	250	0.1841	0.304	1.6508	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	28	240	0.3115	0.5218	1.6748	99.5833	0.0	0.4167	0.0	99.5833	0.4167	99.5833
2	32	280	0.0976	0.2144	2.1975	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	40	252	0.2995	0.469	1.5661	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	48	260	0.1038	0.2009	1.9363	99.6154	0.0	0.3846	0.0	99.6154	0.3846	99.6154
2	56	271	0.1813	0.3774	2.0814	99.631	0.0	0.369	0.0	99.631	0.369	99.631
2	64	266	0.0936	0.1617	1.7275	99.6241	0.0	0.3759	0.0	99.6241	0.3759	99.6241
2	80	252	0.1825	0.2527	1.3849	100.0	0.0	0.0	0.0	100.0	0.0	100.0
2	96	273	0.2935	0.3598	1.2258	99.2674	0.0	0.7326	0.0	99.2674	0.7326	99.2674
2	112	264	0.1528	0.2232	1.4605	100.0	0.0	0.0	0.0	100.0	0.0	100.0
